S000000001	TFC3	YAL001C|FUN24|TSV115
S000000112	FUS3	YBL016W|DAC2
S000000113	PEP1	YBL017C|VPS10|VPT1
S000000114	POP8	YBL018C
S000000115	APN2	YBL019W|DNA-(apurinic or apyrimidinic site) lyase APN2|ETH1
S000000116	RFT1	YBL020W
S000000117	HAP3	YBL021C
S000000118	PIM1	YBL022C|LON1
S000000119	MCM2	YBL023C
S000000120	NCL1	YBL024W|TRM4
S000000121	RRN10	YBL025W
S000000122	LSM2	YBL026W|SMX5|SNP3
S000000123	RPL19B	YBL027W|ribosomal 60S subunit protein L19B
S000000124	YBL028C	YBL028C
S000000125	YBL029W	YBL029W
S000000126	PET9	YBL030C|AAC2|ANC2|OP1
S000000127	SHE1	YBL031W
S000000128	HEK2	YBL032W|KHD1
S000000129	RIB1	YBL033C|GTP cyclohydrolase II
S000000130	STU1	YBL034C
S000000131	POL12	YBL035C
S000000132	YBL036C	YBL036C
S000000133	APL3	YBL037W
S000000134	MRPL16	YBL038W|mitochondrial 54S ribosomal protein YmL47
S000000135	URA7	YBL039C|CTP synthase URA7
S000000136	ERD2	YBL040C
S000000137	PRE7	YBL041W|PRS3|proteasome core particle subunit beta 6
S000000138	FUI1	YBL042C
S000000139	ECM13	YBL043W
S000000140	YBL044W	YBL044W
S000000141	COR1	YBL045C|QCR1|ubiquinol--cytochrome-c reductase subunit COR1
S000000142	PSY4	YBL046W
S000000143	EDE1	YBL047C|BUD15
S000000145	MOH1	YBL049W
S000000146	SEC17	YBL050W|RNS3
S000000147	PIN4	YBL051C|MDT1
S000000148	SAS3	YBL052C
S000000150	TOD6	YBL054W|PBF1
S000000151	YBL055C	YBL055C|3'-5'-exodeoxyribonuclease|Tat-D
S000000152	PTC3	YBL056W
S000000153	PTH2	YBL057C
S000000154	SHP1	YBL058W|UBX1
S000000155	YBL059W	YBL059W
S000000156	YEL1	YBL060W
S000000157	SKT5	YBL061C|CAL2|CHS4|CSD4
S000000159	KIP1	YBL063W|CIN9
S000000160	PRX1	YBL064C
S000000162	SEF1	YBL066C
S000000163	UBP13	YBL067C
S000000164	PRS4	YBL068W|ribose phosphate diphosphokinase subunit PRS4
S000000165	AST1	YBL069W
S000000168	RPS8A	YBL072C|ribosomal 40S subunit protein S8A
S000000170	AAR2	YBL074C
S000000171	SSA3	YBL075C|Hsp70 family ATPase SSA3|YG106
S000000172	ILS1	YBL076C|isoleucine--tRNA ligase ILS1
S000000174	ATG8	YBL078C|APG8|AUT7|CVT5
S000000175	NUP170	YBL079W|NLE3
S000000176	PET112	YBL080C|glutamyl-tRNA(Gln) amidotransferase subunit PET112
S000000177	YBL081W	YBL081W
S000000178	ALG3	YBL082C|RHK1|dolichyl-P-Man:Man(5)GlcNAc(2)-PP-dolichol alpha-1,3-mannosyltransferase
S000000180	CDC27	YBL084C|APC3|SNB1|anaphase promoting complex subunit CDC27
S000000181	BOI1	YBL085W|BOB1|GIN7
S000000182	YBL086C	YBL086C
S000000183	RPL23A	YBL087C|ribosomal 60S subunit protein L23A
S000000184	TEL1	YBL088C
S000000185	AVT5	YBL089W
S000000186	MRP21	YBL090W|MRP50|mitochondrial 37S ribosomal protein MRP21
S000000187	MAP2	YBL091C
S000000188	RPL32	YBL092W|ribosomal 60S subunit protein L32
S000000189	ROX3	YBL093C|MED19|NUT3|SSN7
S000000191	YBL095W	YBL095W
S000000193	BRN1	YBL097W
S000000194	BNA4	YBL098W|kynurenine 3-monooxygenase
S000000195	ATP1	YBL099W|F1F0 ATP synthase subunit alpha
S000000197	ECM21	YBL101C|ART2
S000000198	SFT2	YBL102W
S000000199	RTG3	YBL103C
S000000200	SEA4	YBL104C|YBL103C-A
S000000201	PKC1	YBL105C|CLY15|CLY5|CLY7|HPO2|STT1
S000000202	SRO77	YBL106C|SNI2|SOP2
S000000203	MIC23	YBL107C
S000000205	NTH2	YBR001C|alpha,alpha-trehalase NTH2
S000000206	RER2	YBR002C
S000000207	COQ1	YBR003W|trans-hexaprenyltranstransferase
S000000208	GPI18	YBR004C|FMP44
S000000209	RCR1	YBR005W|SSH6
S000000210	UGA2	YBR006W|UGA5|succinate-semialdehyde dehydrogenase (NAD(P)(+))
S000000211	DSF2	YBR007C
S000000212	FLR1	YBR008C
S000000213	HHF1	YBR009C
S000000214	HHT1	YBR010W|BUR5|SIN2
S000000215	IPP1	YBR011C|PPA1
S000000217	YBR013C	YBR013C
S000000218	GRX7	YBR014C|glutathione-disulfide reductase GRX7
S000000219	MNN2	YBR015C|CRV4|LDB8|TTP1
S000000220	YBR016W	YBR016W
S000000221	KAP104	YBR017C
S000000222	GAL7	YBR018C|UDP-glucose:hexose-1-phosphate uridylyltransferase
S000000223	GAL10	YBR019C|bifunctional UDP-glucose 4-epimerase/aldose 1-epimerase
S000000224	GAL1	YBR020W|galactokinase
S000000225	FUR4	YBR021W
S000000226	POA1	YBR022W
S000000227	CHS3	YBR023C|CAL1|CSD2|DIT101|KTI2|chitin synthase CHS3
S000000228	SCO2	YBR024W
S000000229	OLA1	YBR025C
S000000230	ETR1	YBR026C|MRF1|MRF1'
S000000232	YPK3	YBR028C
S000000233	CDS1	YBR029C|CDG1|phosphatidate cytidylyltransferase
S000000234	RKM3	YBR030W
S000000235	RPL4A	YBR031W|ribosomal 60S subunit protein L4A
S000000237	EDS1	YBR033W
S000000238	HMT1	YBR034C|HCP1|ODP1|RMT1
S000000239	PDX3	YBR035C|pyridoxamine-phosphate oxidase PDX3
S000000240	CSG2	YBR036C|CLS2|mannosylinositol phosphorylceramide synthase regulatory subunit
S000000241	SCO1	YBR037C|PET161
S000000242	CHS2	YBR038W|chitin synthase CHS2
S000000243	ATP3	YBR039W|F1F0 ATP synthase subunit gamma
S000000244	FIG1	YBR040W
S000000245	FAT1	YBR041W|long-chain fatty acid transporter FAT1
S000000246	CST26	YBR042C|PSI1
S000000247	QDR3	YBR043C|AQR2
S000000248	TCM62	YBR044C
S000000249	GIP1	YBR045C
S000000250	ZTA1	YBR046C
S000000251	FMP23	YBR047W
S000000252	RPS11B	YBR048W|ribosomal 40S subunit protein S11B
S000000253	REB1	YBR049C|GRF2
S000000254	REG2	YBR050C
S000000256	RFS1	YBR052C
S000000257	YBR053C	YBR053C
S000000258	YRO2	YBR054W
S000000259	PRP6	YBR055C|RNA6|TSM7269
S000000260	YBR056W	YBR056W|17-beta-hydroxysteroid dehydrogenase-like protein
S000000261	MUM2	YBR057C|SPOT8
S000000262	UBP14	YBR058C|GID6
S000000263	AKL1	YBR059C
S000000264	ORC2	YBR060C|RRR1|SIR5|origin recognition complex subunit 2
S000000265	TRM7	YBR061C
S000000266	YBR062C	YBR062C
S000000267	YBR063C	YBR063C
S000000269	ECM2	YBR065C|SLT11
S000000270	NRG2	YBR066C
S000000271	TIP1	YBR067C
S000000272	BAP2	YBR068C
S000000273	TAT1	YBR069C|TAP1|VAP1
S000000274	ALG14	YBR070C|N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase anchoring subunit ALG14
S000000275	YBR071W	YBR071W
S000000276	HSP26	YBR072W
S000000277	RDH54	YBR073W|DNA-dependent ATPase RDH54|TID1
S000000278	PFF1	YBR074W|YBR075W
S000000280	ECM8	YBR076W
S000000281	SLM4	YBR077C|EGO3|GSE1|NIR1
S000000282	ECM33	YBR078W
S000000283	RPG1	YBR079C|TIF32
S000000284	SEC18	YBR080C|ANU4
S000000285	SPT7	YBR081C|GIT2
S000000286	UBC4	YBR082C|E2 ubiquitin-conjugating protein UBC4
S000000287	TEC1	YBR083W|ROC1
S000000288	MIS1	YBR084W|trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1
S000000289	AAC3	YBR085W|ANC3
S000000290	IST2	YBR086C
S000000291	RFC5	YBR087W|replication factor C subunit 5
S000000292	POL30	YBR088C
S000000294	YBR090C	YBR090C
S000000295	TIM12	YBR091C|MRS5
S000000296	PHO3	YBR092C|phoC
S000000297	PHO5	YBR093C|phoE
S000000298	PBY1	YBR094W
S000000299	RXT2	YBR095C|RAF60
S000000300	YBR096W	YBR096W
S000000301	VPS15	YBR097W|GRD8|VAC4|VPL19|VPS40
S000000302	MMS4	YBR098W|SLX2|YBR100W
S000000305	FES1	YBR101C
S000000306	EXO84	YBR102C|USA3
S000000307	SIF2	YBR103W|EMB1
S000000308	YMC2	YBR104W
S000000309	VID24	YBR105C|GID4|glucose-induced degradation complex subunit VID24
S000000310	PHO88	YBR106W
S000000311	IML3	YBR107C|MCM19
S000000312	AIM3	YBR108W
S000000313	CMD1	YBR109C|CaM
S000000314	ALG1	YBR110W|chitobiosyldiphosphodolichol beta-1,4 mannosyltransferase
S000000315	YSA1	YBR111C|RMA2
S000000316	CYC8	YBR112C|CRT8|SSN6|[OCT1+]|[OCT]
S000000318	RAD16	YBR114W|PSO5
S000000319	LYS2	YBR115C|L-aminoadipate-semialdehyde dehydrogenase
S000000321	TKL2	YBR117C|transketolase TKL2
S000000322	TEF2	YBR118W|EF-1 alpha
S000000323	MUD1	YBR119W
S000000324	CBP6	YBR120C
S000000325	GRS1	YBR121C|glycine--tRNA ligase
S000000326	MRPL36	YBR122C|mitochondrial 54S ribosomal protein YmL36
S000000327	TFC1	YBR123C
S000000329	PTC4	YBR125C|GCT1
S000000330	TPS1	YBR126C|BYP1|CIF1|FDP1|GGS1|GLC6|TSS1|alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1
S000000331	VMA2	YBR127C|ATPSV|VAT2
S000000332	ATG14	YBR128C|APG14|CVT12
S000000333	OPY1	YBR129C
S000000334	SHE3	YBR130C
S000000335	CCZ1	YBR131W|CVT16
S000000336	AGP2	YBR132C
S000000337	HSL7	YBR133C
S000000339	CKS1	YBR135W
S000000340	MEC1	YBR136W|ESR1|RAD31|SAD3
S000000341	YBR137W	YBR137W
S000000342	YBR138C	YBR138C|HDR1
S000000343	YBR139W	YBR139W|carboxypeptidase C
S000000344	IRA1	YBR140C|GLC1|PPD1
S000000345	BMT2	YBR141C
S000000346	MAK5	YBR142W
S000000347	SUP45	YBR143C|SAL4|SUP1|SUP47
S000000349	ADH5	YBR145W|alcohol dehydrogenase ADH5
S000000350	MRPS9	YBR146W|mitochondrial 37S ribosomal protein MRPS9
S000000351	RTC2	YBR147W|RRT11|YPQ3
S000000352	YSW1	YBR148W
S000000353	ARA1	YBR149W|D-arabinose 1-dehydrogenase (NAD(P)(+)) ARA1
S000000354	TBS1	YBR150C
S000000355	APD1	YBR151W
S000000356	SPP381	YBR152W
S000000357	RIB7	YBR153W
S000000358	RPB5	YBR154C
S000000359	CNS1	YBR155W
S000000360	SLI15	YBR156C
S000000361	ICS2	YBR157C
S000000362	AMN1	YBR158W|CST13|ICS4
S000000363	IFA38	YBR159W|ketoreductase
S000000364	CDC28	YBR160W|CDK1|HSL5|SRM5
S000000365	CSH1	YBR161W|mannosylinositol phosphorylceramide synthase catalytic subunit CSH1
S000000366	TOS1	YBR162C
S000000367	EXO5	YBR163W|DEM1
S000000368	ARL1	YBR164C|DLP2
S000000369	UBS1	YBR165W
S000000370	TYR1	YBR166C|pprephenate dehydrogenase (NADP(+))
S000000371	POP7	YBR167C|RPP2
S000000372	PEX32	YBR168W
S000000373	SSE2	YBR169C
S000000374	NPL4	YBR170C|HRD4
S000000375	SEC66	YBR171W|HSS1|SEC71
S000000376	SMY2	YBR172C
S000000377	UMP1	YBR173C|RNS2
S000000379	SWD3	YBR175W|CPS30|SAF35
S000000380	ECM31	YBR176W|3-methyl-2-oxobutanoate hydroxymethyltransferase
S000000381	EHT1	YBR177C
S000000383	FZO1	YBR179C
S000000384	DTR1	YBR180W
S000000385	RPS6B	YBR181C|LPG18|RPS101|RPS102|ribosomal 40S subunit protein S6B
S000000386	SMP1	YBR182C
S000000387	YPC1	YBR183W|phytoceramidase
S000000388	YBR184W	YBR184W
S000000389	MBA1	YBR185C
S000000390	PCH2	YBR186W
S000000391	GDT1	YBR187W
S000000392	NTC20	YBR188C
S000000393	RPS9B	YBR189W|RPS13A|SUP46|ribosomal 40S subunit protein S9B
S000000395	RPL21A	YBR191W|URP1|ribosomal 60S subunit protein L21A
S000000396	RIM2	YBR192W|PYT1
S000000397	MED8	YBR193C
S000000398	AIM4	YBR194W|SOY1
S000000399	MSI1	YBR195C|CAC3
S000000400	PGI1	YBR196C|CDC30|glucose-6-phosphate isomerase
S000000401	YBR197C	YBR197C
S000000402	TAF5	YBR198C|TAF90
S000000403	KTR4	YBR199W
S000000404	BEM1	YBR200W|SRO1
S000000405	DER1	YBR201W
S000000406	MCM7	YBR202W|CDC47
S000000407	COS111	YBR203W
S000000408	LDH1	YBR204C
S000000409	KTR3	YBR205W
S000000411	FTH1	YBR207W
S000000412	DUR1,2	YBR208C|DUR80|bifunctional urea carboxylase/allophanate hydrolase
S000000414	ERV15	YBR210W
S000000415	AME1	YBR211C|ARP100
S000000416	NGR1	YBR212W|RBP1
S000000417	MET8	YBR213W|bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8
S000000418	SDS24	YBR214W
S000000419	HPC2	YBR215W
S000000420	YBP1	YBR216C
S000000421	ATG12	YBR217W|APG12
S000000422	PYC2	YBR218C|pyruvate carboxylase 2
S000000423	YBR219C	YBR219C
S000000424	YBR220C	YBR220C
S000000425	PDB1	YBR221C|pyruvate dehydrogenase (acetyl-transferring) subunit E1 beta
S000000426	PCS60	YBR222C|FAT2
S000000427	TDP1	YBR223C|tyrosyl-DNA phosphodiesterase 1
S000000429	YBR225W	YBR225W
S000000431	MCX1	YBR227C
S000000432	SLX1	YBR228W
S000000433	ROT2	YBR229C|GLS2
S000000434	OM14	YBR230C
S000000435	SWC5	YBR231C|AOR1
S000000437	PBP2	YBR233W|HEK1
S000000438	ARC40	YBR234C
S000000439	VHC1	YBR235W
S000000440	ABD1	YBR236C
S000000441	PRP5	YBR237W|DEAD-box RNA helicase PRP5|RNA5
S000000442	YBR238C	YBR238C
S000000443	ERT1	YBR239C
S000000444	THI2	YBR240C|PHO6|phoF
S000000445	YBR241C	YBR241C
S000000446	YBR242W	YBR242W
S000000447	ALG7	YBR243C|TUR1|UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase
S000000448	GPX2	YBR244W|AMI1|glutathione peroxidase GPX2
S000000449	ISW1	YBR245C|SGN2|chromatin-remodeling ATPase ISW1
S000000450	RRT2	YBR246W|DPH7|ERE1|diphthamide synthase
S000000451	ENP1	YBR247C|MEG1
S000000452	HIS7	YBR248C|imidazoleglycerol-phosphate synthase
S000000453	ARO4	YBR249C|3-deoxy-7-phosphoheptulonate synthase ARO4
S000000454	SPO23	YBR250W
S000000455	MRPS5	YBR251W|mitochondrial 37S ribosomal protein MRPS5
S000000456	DUT1	YBR252W|bifunctional dITP/dUTP diphosphatase
S000000457	SRB6	YBR253W|MED22
S000000458	TRS20	YBR254C
S000000459	MTC4	YBR255W
S000000460	RIB5	YBR256C|riboflavin synthase
S000000461	POP4	YBR257W
S000000462	SHG1	YBR258C|CPS15
S000000463	YBR259W	YBR259W
S000000464	RGD1	YBR260C
S000000465	TAE1	YBR261C|NTM1
S000000466	AIM5	YBR262C|FMP51|MCS12
S000000467	SHM1	YBR263W|SHMT1|TMP3|glycine hydroxymethyltransferase SHM1
S000000468	YPT10	YBR264C
S000000469	TSC10	YBR265W|3-dehydrosphinganine reductase
S000000471	REI1	YBR267W
S000000472	MRPL37	YBR268W|mitochondrial 54S ribosomal protein YmL37
S000000473	FMP21	YBR269C
S000000474	BIT2	YBR270C
S000000475	EFM2	YBR271W
S000000476	HSM3	YBR272C
S000000477	UBX7	YBR273C|CUI3
S000000478	CHK1	YBR274W
S000000479	RIF1	YBR275C
S000000480	PPS1	YBR276C
S000000482	DPB3	YBR278W
S000000483	PAF1	YBR279W
S000000484	SAF1	YBR280C|SCF ubiquitin ligase complex subunit SAF1
S000000485	DUG2	YBR281C|glutamine amidotransferase subunit DUG2
S000000486	MRPL27	YBR282W|mitochondrial 54S ribosomal protein YmL27
S000000487	SSH1	YBR283C
S000000488	YBR284W	YBR284W|metallo-dependent hydrolase superfamily protein
S000000489	YBR285W	YBR285W
S000000490	APE3	YBR286W|APY1
S000000491	YBR287W	YBR287W|ZSP1
S000000492	APM3	YBR288C|YKS6
S000000493	SNF5	YBR289W|HAF4|SWI10|TYE4
S000000494	BSD2	YBR290W
S000000495	CTP1	YBR291C
S000000497	VBA2	YBR293W
S000000498	SUL1	YBR294W|SFP2
S000000499	PCA1	YBR295W|CAD2|PAY2|cation-transporting P-type ATPase PCA1
S000000500	PHO89	YBR296C|ITN1
S000000501	MAL33	YBR297W|MAL3R|MALR
S000000502	MAL31	YBR298C|MAL3T|MALT
S000000503	MAL32	YBR299W|MAL3S|MALS
S000000505	PAU24	YBR301W|DAN3
S000000506	COS2	YBR302C
S000000507	RER1	YCL001W
S000000508	YCL002C	YCL002C
S000000510	PGS1	YCL004W|CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase|PEL1|YCL003W
S000000511	LDB16	YCL005W
S000000514	STP22	YCL008C|VPL15|VPS23
S000000515	ILV6	YCL009C|acetolactate synthase regulatory subunit
S000000516	SGF29	YCL010C
S000000517	GBP2	YCL011C|RLF6
S000000520	BUD3	YCL014W|YCL012W
S000000521	DCC1	YCL016C
S000000522	NFS1	YCL017C|SPL1
S000000523	LEU2	YCL018W|3-isopropylmalate dehydrogenase
S000000524	YCL019W	YCL019W|gag-pol fusion protein
S000000525	YCL020W	YCL020W|gag protein
S000000529	KCC4	YCL024W
S000000530	AGP1	YCL025C|YCC5
S000000532	FUS1	YCL027W
S000000533	RNQ1	YCL028W|[PIN(+)]
S000000534	BIK1	YCL029C|ARM5|PAC14
S000000535	HIS4	YCL030C|trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase
S000000536	RRP7	YCL031C
S000000537	STE50	YCL032W
S000000538	MXR2	YCL033C|MSRB
S000000539	LSB5	YCL034W
S000000540	GRX1	YCL035C
S000000541	GFD2	YCL036W|YCD6
S000000542	SRO9	YCL037C
S000000543	ATG22	YCL038C|AUT4
S000000544	GID7	YCL039W|MOH2|glucose-induced degradation complex subunit GID7
S000000545	GLK1	YCL040W|HOR3|glucokinase
S000000547	YCL042W	YCL042W
S000000548	PDI1	YCL043C|MFP1|TRG1|protein disulfide isomerase PDI1
S000000549	MGR1	YCL044C
S000000550	EMC1	YCL045C
S000000552	POF1	YCL047C
S000000553	SPS22	YCL048W
S000000554	YCL049C	YCL049C
S000000555	APA1	YCL050C|DTP1
S000000556	LRE1	YCL051W
S000000557	PBN1	YCL052C
S000000559	SPB1	YCL054W
S000000560	KAR4	YCL055W
S000000561	PEX34	YCL056C
S000000562	PRD1	YCL057W
S000000563	FYV5	YCL058C|MDF1
S000000564	KRR1	YCL059C
S000000566	MRC1	YCL061C|YCL060C
S000000568	VAC17	YCL063W|YCL062W
S000000569	CHA1	YCL064C|L-serine/L-threonine ammonia-lyase CHA1
S000000571	HMLALPHA1	YCL066W|ALPHA1
S000000572	HMLALPHA2	YCL067C|ALPHA2
S000000573	YCL068C	YCL068C
S000000574	VBA3	YCL069W
S000000575	GEX1	YCL073C
S000000579	YCL074W	YCL074W
S000000580	YCL075W	YCL075W
S000000589	FRM2	YCL026C-A|YCLX08C
S000000595	CDC10	YCR002C|septin CDC10
S000000596	MRPL32	YCR003W|mitochondrial 54S ribosomal protein YmL32
S000000597	YCP4	YCR004C
S000000598	CIT2	YCR005C|citrate (Si)-synthase CIT2
S000000600	YCR007C	YCR007C
S000000601	SAT4	YCR008W|HAL4
S000000602	RVS161	YCR009C|END6|FUS7|SPE161
S000000603	ADY2	YCR010C|ATO1
S000000604	ADP1	YCR011C|putative ATP-dependent permease ADP1
S000000605	PGK1	YCR012W|phosphoglycerate kinase
S000000607	POL4	YCR014C|POLX
S000000608	YCR015C	YCR015C
S000000609	YCR016W	YCR016W
S000000610	CWH43	YCR017C
S000000611	SRD1	YCR018C
S000000612	MAK32	YCR019W
S000000613	PET18	YCR020C|HIT2
S000000614	MAK31	YCR020C-A|LSM9|NAA38|SMX1
S000000615	HSP30	YCR021C|YRO1
S000000617	YCR023C	YCR023C
S000000618	SLM5	YCR024C|asparagine--tRNA ligase SLM5
S000000619	PMP1	YCR024C-A
S000000621	NPP1	YCR026C
S000000622	RHB1	YCR027C|RSG1
S000000623	FEN2	YCR028C
S000000626	SYP1	YCR030C|YCR029C-A
S000000627	RPS14A	YCR031C|CRY1|RPL59|ribosomal 40S subunit protein S14A
S000000628	BPH1	YCR032W
S000000629	SNT1	YCR033W
S000000630	FEN1	YCR034W|ELO2|GNS1|VBM2|fatty acid elongase FEN1
S000000631	RRP43	YCR035C
S000000632	RBK1	YCR036W
S000000633	PHO87	YCR037C
S000000634	BUD5	YCR038C
S000000635	MATALPHA2	YCR039C|ALPHA2
S000000636	MATALPHA1	YCR040W|ALPHA1
S000000638	TAF2	YCR042C|TAF150|TSM1
S000000639	YCR043C	YCR043C
S000000640	PER1	YCR044C|COS16
S000000641	RRT12	YCR045C|OSW3
S000000642	IMG1	YCR046C|mitochondrial 54S ribosomal protein IMG1
S000000643	BUD23	YCR047C
S000000644	ARE1	YCR048W|SAT2
S000000646	YCR050C	YCR050C
S000000647	YCR051W	YCR051W
S000000648	RSC6	YCR052W
S000000649	THR4	YCR053W|threonine synthase THR4
S000000650	CTR86	YCR054C
S000000653	PWP2	YCR057C|UTP1|YCR055C|YCR058C
S000000655	YIH1	YCR059C
S000000656	TAH1	YCR060W
S000000657	YCR061W	YCR061W|YCR062W
S000000659	BUD31	YCR063W|CWC14
S000000661	HCM1	YCR065W
S000000662	RAD18	YCR066W|E3 ubiquitin-protein ligase RAD18
S000000663	SED4	YCR067C
S000000664	ATG15	YCR068W|AUT5|CVT17
S000000665	CPR4	YCR069W|CYP4|SCC3|YCR070W|peptidylprolyl isomerase family protein CPR4
S000000667	IMG2	YCR071C|mitochondrial 54S ribosomal protein IMG2
S000000668	RSA4	YCR072C
S000000669	SSK22	YCR073C
S000000671	ERS1	YCR075C
S000000672	FUB1	YCR076C
S000000673	PAT1	YCR077C|MRT1
S000000677	SRB8	YCR081W|GIG1|MED12|NUT6|SSN5|YCR080W
S000000678	AHC2	YCR082W
S000000679	TRX3	YCR083W
S000000680	TUP1	YCR084C|AAR1|AER2|AMM1|CRT4|CYC9|FLK1|ROX4|SFL2|UMR7
S000000682	CSM1	YCR086W
S000000684	ABP1	YCR088W
S000000685	FIG2	YCR089W
S000000686	YCR090C	YCR090C
S000000687	KIN82	YCR091W|FPK2
S000000688	MSH3	YCR092C|mismatch repair protein MSH3
S000000689	CDC39	YCR093W|CCR4-NOT core subunit CDC39|NOT1|ROS1|SMD6
S000000690	CDC50	YCR094W
S000000691	OCA4	YCR095C
S000000692	HMRA2	YCR096C|A2
S000000694	HMRA1	YCR097W|YCR097WB
S000000695	GIT1	YCR098C
S000000696	YCR099C	YCR099C
S000000697	YCR100C	YCR100C
S000000698	YCR101C	YCR101C
S000000699	YCR102C	YCR102C
S000000701	PAU3	YCR104W
S000000702	ADH7	YCR105W|ADHVII
